origem,destino,peso
Liberdade - SP,Colégio Adventista de Vila Alpina,7.911287797109907
Liberdade - SP,Escola Adventista de Vila das Belezas,14.517985780123915
Liberdade - SP,Colégio Adventista de Vila Galvão,13.258792492853287
Liberdade - SP,Colégio Adventista de Vila Matilde,11.637576659774469
Liberdade - SP,Colégio Adventista de Vila Nova Cachoeirinha,10.702437712325581
Liberdade - SP,Colégio Adventista de Vila Yara,12.816455017277969
Liberdade - SP,Colégio Adventista do Brooklin,8.20627295339941
Liberdade - SP,Escola Adventista de Campo Grande,13.710090583698683
Liberdade - SP,Escola Adventista de Educação Infantil de Vila Matilde,11.687621855611225
Colégio Adventista da Liberdade - BA,Colégio Adventista de Castelo Branco,7.590475090171965
Colégio Adventista da Liberdade - BA,Colégio Adventista de Itapagipe,1.8397420006661123
Colégio Adventista da Liberdade - BA,Colégio Adventista de Salvador,2.4407399206641895
Colégio Adventista da Liberdade - BA,Colégio Adventista de São Caetano,2.3592175496327332
Colégio Adventista da Liberdade - BA,Escola Adventista de Amaralina,7.112530613336946
Colégio Adventista da Liberdade - BA,Escola Adventista de IAPI,1.8497927110747017
Colégio Adventista da Liberdade - BA,Escola Adventista de Jardim Cruzeiro,2.51514524194309
Colégio Adventista da Liberdade - BA,Escola Adventista de Paripe,12.616675401933211
Colégio Adventista da Liberdade - BA,Escola Adventista de Praia Grande,8.82440498273324
Colégio Adventista da Tijuca,Colégio Adventista de Jacarepaguá,14.687589913590394
Colégio Adventista da Tijuca,Colégio Adventista de Niterói,13.6676828685533
Colégio Adventista da Tijuca,Colégio Adventista de Botafogo,4.62940952553675
Colégio Adventista da Tijuca,Escola Adventista de Inhaúma,8.457502676984907
Colégio Adventista da Tijuca,Escola Adventista de Música ARS,13.01676868863061
Colégio Adventista da Tijuca,Escola Adventista da Barra da Tijuca,13.938416161785408
Colégio Adventista de Altamira,IATAI - Instituto Adventista Transamazônico Agroindustrial,148.26060558330104
Colégio Adventista de Americana,Colégio Adventista de Paulínia,16.902124961094493
Colégio Adventista de Americanópolis,Escola Adventista de Campo de Fora,12.233881559353692
Colégio Adventista de Americanópolis,Colégio Adventista de Campo Limpo,12.835275877528035
Colégio Adventista de Americanópolis,Colégio Adventista de Cidade Ademar,1.554932399107484
Colégio Adventista de Americanópolis,Colégio Adventista de Diadema,3.906945779922138
Colégio Adventista de Americanópolis,Colégio Adventista de Interlagos,8.079866798994344
Colégio Adventista de Americanópolis,Colégio Adventista de Jardim Utinga,13.32093682033979
Colégio Adventista de Americanópolis,Colégio Adventista de Santo Amaro,5.80201128422207
Colégio Adventista de Americanópolis,Colégio Adventista de Santo André,11.822408063070117
Colégio Adventista de Americanópolis,Colégio Adventista de São Bernardo do Campo,12.109075534632254
Colégio Adventista de Americanópolis,Colégio Adventista de São Caetano do Sul,7.861496623827844
Colégio Adventista de Americanópolis,Colégio Adventista de Taboão da Serra,14.24203423439866
Colégio Adventista de Americanópolis,Colégio Adventista de Vila Alpina,10.079484574907804
Colégio Adventista de Americanópolis,Escola Adventista de Vila das Belezas,10.045031144528199
Colégio Adventista de Americanópolis,Colégio Adventista do Brooklin,5.663517107476885
Colégio Adventista de Americanópolis,Colégio Adventista Ellen G. White,13.01045353423385
Colégio Adventista de Americanópolis,Escola Adventista de Alvorada - SP,14.24258704625025
Colégio Adventista de Americanópolis,Escola Adventista de Campo Grande,5.042711481286299
Colégio Adventista de Americanópolis,Escola Adventista de Jardim das Palmeiras,13.558397096889944
Colégio Adventista de Americanópolis,Escola Adventista de Jardim Lilah,14.130951784413817
Colégio Adventista de Americanópolis,Escola Adventista de Pedreira - AP,4.991760955622032
Colégio Adventista de Americanópolis,Unasp-SP - Centro Universitário Adventista - São Paulo,14.114720624756032
Colégio Adventista de Americanópolis,Unasp-BI - Centro Universitário Adventista - Bilíngue,14.114720624756032
Colégio Adventista de Araçariguama,Escola Adventista de São Roque,12.217644030211018
Colégio Adventista de Araguaina,Escola Adventista de Porto Franco,130.3813507029937
Colégio Adventista de Arruda,Colégio Adventista do Recife,3.935800250394081
Colégio Adventista de Assis,Escola Adventista de Marília,69.7266675801091
Colégio Adventista de Bauru,Escola Adventista de Marília,89.05251617476524
Colégio Adventista de Belo Horizonte,Escola Adventista da Concórdia,3.07521478607774
Colégio Adventista de Belo Horizonte,Escola Adventista da Pampulha,4.695010256718214
Colégio Adventista de Belo Horizonte,Colégio Adventista do Buritis,11.232285874495235
Colégio Adventista de Bragança Paulista,Colégio Adventista de Jundiaí,43.67855878269489
Colégio Adventista de Cáceres,Colégio Adventista de Tangará da Serra,159.96945440393935
Colégio Adventista de Campinas,Colégio Adventista de Campinas - Unidade Castelo,2.9690494044522087
Escola Adventista de Campo de Fora,Colégio Adventista de Campo Limpo,3.5058869051463724
Escola Adventista de Campo de Fora,Colégio Adventista de Cidade Ademar,11.436656200021105
Escola Adventista de Campo de Fora,Colégio Adventista de Diadema,14.61779823129806
Escola Adventista de Campo de Fora,Colégio Adventista de Embu das Artes,10.400891685625979
Escola Adventista de Campo de Fora,Colégio Adventista de Interlagos,9.228907269256904
Escola Adventista de Campo de Fora,Colégio Adventista de Santo Amaro,6.468197262067713
Escola Adventista de Campo de Fora,Colégio Adventista de Taboão da Serra,6.350873812975889
Escola Adventista de Campo de Fora,Escola Adventista de Vila das Belezas,2.4802101825746843
Escola Adventista de Campo de Fora,Colégio Adventista de Vila Yara,11.824901247738469
Escola Adventista de Campo de Fora,Colégio Adventista do Brooklin,9.263036388913202
Escola Adventista de Campo de Fora,Colégio Adventista Ellen G. White,1.0883489683537226
Escola Adventista de Campo de Fora,Colégio Adventista da Granja Viana,11.562720657433603
Escola Adventista de Campo de Fora,Escola Adventista de Alvorada - SP,2.0849901044881904
Escola Adventista de Campo de Fora,Escola Adventista de Campo Grande,7.690618799338714
Escola Adventista de Campo de Fora,Colégio Adventista de Itapecerica da Serra,11.074083374901043
Escola Adventista de Campo de Fora,Escola Adventista de Jardim das Palmeiras,2.293141568987161
Escola Adventista de Campo de Fora,Escola Adventista de Jardim Lilah,2.3254302720871722
Escola Adventista de Campo de Fora,Escola Adventista de Pedreira - AP,9.948564059174664
Escola Adventista de Campo de Fora,Colégio Adventista Pirajuçara,3.9527314509730083
Escola Adventista de Campo de Fora,Escola Adventista Thiago White,4.7725203283176425
Escola Adventista de Campo de Fora,Unasp-SP - Centro Universitário Adventista - São Paulo,2.0555752961352973
Escola Adventista de Campo de Fora,Unasp-BI - Centro Universitário Adventista - Bilíngue,2.0555752961352973
Colégio Adventista de Campo Grande,Colégio Adventista de Padre Miguel,12.731040087055106
Colégio Adventista de Campo Limpo,Colégio Adventista de Cidade Ademar,12.43812400917228
Colégio Adventista de Campo Limpo,Colégio Adventista de Embu das Artes,11.021210736111708
Colégio Adventista de Campo Limpo,Colégio Adventista de Interlagos,11.906170750250345
Colégio Adventista de Campo Limpo,Colégio Adventista de Santo Amaro,7.231624156221062
Colégio Adventista de Campo Limpo,Colégio Adventista de Taboão da Serra,2.8548335771964064
Colégio Adventista de Campo Limpo,Escola Adventista de Vila das Belezas,3.399598525323967
Colégio Adventista de Campo Limpo,Colégio Adventista de Vila Yara,8.32471546126467
Colégio Adventista de Campo Limpo,Colégio Adventista do Brooklin,8.446774846783274
Colégio Adventista de Campo Limpo,Colégio Adventista Ellen G. White,4.3373549789036625
Colégio Adventista de Campo Limpo,Colégio Adventista da Granja Viana,9.659256145502207
Colégio Adventista de Campo Limpo,Escola Adventista de Alvorada - SP,4.517594984410802
Colégio Adventista de Campo Limpo,Escola Adventista de Campo Grande,9.231661670808396
Colégio Adventista de Campo Limpo,Colégio Adventista de Itapecerica da Serra,13.296945515964648
Colégio Adventista de Campo Limpo,Escola Adventista de Jardim das Palmeiras,5.57269105500669
Colégio Adventista de Campo Limpo,Escola Adventista de Jardim Lilah,5.234513618754992
Colégio Adventista de Campo Limpo,Escola Adventista de Pedreira - AP,11.866758220154273
Colégio Adventista de Campo Limpo,Colégio Adventista Pirajuçara,4.2951131397570315
Colégio Adventista de Campo Limpo,Escola Adventista Thiago White,7.535635699216916
Colégio Adventista de Campo Limpo,Unasp-SP - Centro Universitário Adventista - São Paulo,4.725964724429673
Colégio Adventista de Campo Limpo,Unasp-BI - Centro Universitário Adventista - Bilíngue,4.725964724429673
Colégio Adventista de Campo Mourão,Escola Adventista de Cianorte - ANP,48.488425273777786
Colégio Adventista de Caraguatatuba,Colégio Adventista de São José dos Campos,64.24788318619932
Colégio Adventista de Caruaru,IAPE - Instituto Adventista Pernambucano de Ensino,34.433848416326825
Colégio Adventista de Cascavel,Escola Adventista de Toledo,38.204356625818555
Colégio Adventista de Castelo Branco,Colégio Adventista de Itapagipe,7.348276881300056
Colégio Adventista de Castelo Branco,Colégio Adventista de Salvador,9.800749215523643
Colégio Adventista de Castelo Branco,Colégio Adventista de São Caetano,5.233886317293464
Colégio Adventista de Castelo Branco,Escola Adventista de Amaralina,12.58469627804364
Colégio Adventista de Castelo Branco,Escola Adventista de IAPI,6.831504669527119
Colégio Adventista de Castelo Branco,Escola Adventista de Jardim Cruzeiro,6.9574463959497885
Colégio Adventista de Castelo Branco,Escola Adventista de Paripe,7.470863829100165
Colégio Adventista de Castelo Branco,Escola Adventista de Praia Grande,5.01944128600038
Colégio Adventista de Cidade Ademar,Colégio Adventista de Diadema,3.533660525525216
Colégio Adventista de Cidade Ademar,Colégio Adventista de Interlagos,6.539293276193172
Colégio Adventista de Cidade Ademar,Colégio Adventista de Jardim Utinga,14.582577303408698
Colégio Adventista de Cidade Ademar,Colégio Adventista de Santo Amaro,5.218457143153823
Colégio Adventista de Cidade Ademar,Colégio Adventista de Santo André,12.639261702776267
Colégio Adventista de Cidade Ademar,Colégio Adventista de São Bernardo do Campo,12.28654327909429
Colégio Adventista de Cidade Ademar,Colégio Adventista de São Caetano do Sul,9.036813470009216
Colégio Adventista de Cidade Ademar,Colégio Adventista de Taboão da Serra,14.119671444440684
Colégio Adventista de Cidade Ademar,Colégio Adventista de Vila Alpina,11.59448225261013
Colégio Adventista de Cidade Ademar,Escola Adventista de Vila das Belezas,9.415826781627846
Colégio Adventista de Cidade Ademar,Colégio Adventista do Brooklin,6.1808740899851715
Colégio Adventista de Cidade Ademar,Colégio Adventista Ellen G. White,12.12704886014634
Colégio Adventista de Cidade Ademar,Escola Adventista de Alvorada - SP,13.377353358647976
Colégio Adventista de Cidade Ademar,Escola Adventista de Campo Grande,3.8932553613388268
Colégio Adventista de Cidade Ademar,Escola Adventista de Jardim das Palmeiras,12.56335562098473
Colégio Adventista de Cidade Ademar,Escola Adventista de Jardim Lilah,13.187870515863938
Colégio Adventista de Cidade Ademar,Escola Adventista de Pedreira - AP,3.442956127310978
Colégio Adventista de Cidade Ademar,Unasp-SP - Centro Universitário Adventista - São Paulo,13.222544019502111
Colégio Adventista de Cidade Ademar,Unasp-BI - Centro Universitário Adventista - Bilíngue,13.222544019502111
Colégio Adventista de Codó,Escola Adventista de Coroatá,44.83709596545005
Colégio Adventista de Cotia,Colégio Adventista de Embu das Artes,10.652871004912331
Colégio Adventista de Cotia,Colégio Adventista da Granja Viana,7.662968114373422
Colégio Adventista de Cotia,Colégio Adventista Pirajuçara,14.620111018105531
Colégio Adventista de Cotia,Colégio Adventista de Alphaville,12.798702130672545
Colégio Adventista de Diadema,Colégio Adventista de Interlagos,7.791959945864581
Colégio Adventista de Diadema,Colégio Adventista de Jardim Utinga,13.054590006817874
Colégio Adventista de Diadema,Colégio Adventista de Santo Amaro,8.668129086734913
Colégio Adventista de Diadema,Colégio Adventista de Santo André,10.027000514206325
Colégio Adventista de Diadema,Colégio Adventista de São Bernardo do Campo,8.861440592109194
Colégio Adventista de Diadema,Colégio Adventista de São Caetano do Sul,7.543122551311907
Colégio Adventista de Diadema,Colégio Adventista de Vila Alpina,11.504274558985752
Colégio Adventista de Diadema,Escola Adventista de Vila das Belezas,12.769707964362858
Colégio Adventista de Diadema,Colégio Adventista do Brooklin,9.509597380943532
Colégio Adventista de Diadema,Escola Adventista de Campo Grande,6.927464206822774
Colégio Adventista de Diadema,Escola Adventista de Pedreira - AP,5.11328183188701
Colégio Adventista de Duque de Caxias,Colégio Adventista de Jacarepaguá,12.59895661186816
Colégio Adventista de Duque de Caxias,Escola Adventista de Inhaúma,9.288361925591891
Colégio Adventista de Duque de Caxias,Escola Adventista de Jardim Metrópole,4.455940370402417
Colégio Adventista de Embu das Artes,Colégio Adventista de Taboão da Serra,11.98692627695338
Colégio Adventista de Embu das Artes,Escola Adventista de Vila das Belezas,12.727201648040571
Colégio Adventista de Embu das Artes,Colégio Adventista Ellen G. White,9.641871019552294
Colégio Adventista de Embu das Artes,Colégio Adventista da Granja Viana,7.823995441510781
Colégio Adventista de Embu das Artes,Escola Adventista de Alvorada - SP,8.3947762543811
Colégio Adventista de Embu das Artes,Colégio Adventista de Itapecerica da Serra,5.929127642668382
Colégio Adventista de Embu das Artes,Escola Adventista de Jardim das Palmeiras,9.327586516859691
Colégio Adventista de Embu das Artes,Escola Adventista de Jardim Lilah,8.620704993806639
Colégio Adventista de Embu das Artes,Colégio Adventista Pirajuçara,6.84951518511053
Colégio Adventista de Embu das Artes,Escola Adventista Thiago White,7.3859112459286616
Colégio Adventista de Embu das Artes,Unasp-SP - Centro Universitário Adventista - São Paulo,8.54695660299426
Colégio Adventista de Embu das Artes,Unasp-BI - Centro Universitário Adventista - Bilíngue,8.54695660299426
Colégio Adventista de Engenheiro Goulart,Colégio Adventista de Gopoúva,4.396459103904978
Colégio Adventista de Engenheiro Goulart,Colégio Adventista de Jardim Utinga,13.366492467477517
Colégio Adventista de Engenheiro Goulart,Colégio Adventista de São Miguel Paulista,8.836140579822038
Colégio Adventista de Engenheiro Goulart,Colégio Adventista de Tucuruvi,9.413308091882147
Colégio Adventista de Engenheiro Goulart,Colégio Adventista de Vila Alpina,12.02603903016918
Colégio Adventista de Engenheiro Goulart,Colégio Adventista de Vila Galvão,6.610410725514943
Colégio Adventista de Engenheiro Goulart,Colégio Adventista de Vila Matilde,3.9558605273826704
Colégio Adventista de Engenheiro Goulart,Escola Adventista de Educação Infantil de Vila Matilde,4.534407713444365
Colégio Adventista de Esteio,Colégio Adventista de Cachoeirinha,12.96835012848159
Colégio Adventista de Esteio,Escola Adventista de Canoas,6.178326673218894
Colégio Adventista de Eunápolis,Escola Adventista de Teixeira de Freitas,129.50031218409953
Colégio Adventista de Feira de Santana,Colégio Adventista da Bahia,33.93855219452576
Colégio Adventista de Florianópolis - Centro,Colégio Adventista de Florianópolis - Estreito,4.96749626270236
Colégio Adventista de Foz do Iguaçu,Escola Adventista de Toledo,125.46591961401298
Colégio Adventista de Gopoúva,Colégio Adventista de São Miguel Paulista,11.753653785942
Colégio Adventista de Gopoúva,Colégio Adventista de Tucuruvi,7.2334116386579
Colégio Adventista de Gopoúva,Colégio Adventista de Vila Alpina,14.804694508690298
Colégio Adventista de Gopoúva,Colégio Adventista de Vila Galvão,2.630832339461212
Colégio Adventista de Gopoúva,Colégio Adventista de Vila Matilde,7.760536168900824
Colégio Adventista de Gopoúva,Colégio Adventista de Vila Nova Cachoeirinha,13.621610332356836
Colégio Adventista de Gopoúva,Escola Adventista de Educação Infantil de Vila Matilde,8.401587051187462
Colégio Adventista de Gravataí,Colégio Adventista Marechal Rondon,13.658350868007973
Colégio Adventista de Gravataí,Escola Adventista de Alvorada - RS,8.434954409044034
Colégio Adventista de Gravataí,Colégio Adventista de Cachoeirinha,6.783348327967472
Colégio Adventista de Gravataí,Escola Adventista do Sarandi,10.998991128046855
Colégio Adventista de Gravataí,Escola Adventista de Canoas,12.777834661362213
Colégio Adventista de Gurupi,Escola Adventista de Palmas,188.79775953337872
Colégio Adventista de Hortolândia,Colégio Adventista de Paulínia,14.462425248575817
Colégio Adventista de Hortolândia,Unasp-HT - Centro Universitário Adventista Hortolândia,0.5190113367810514
Colégio Adventista de Imperatriz,Escola Adventista de Imperatriz,1.57390193480331
Colégio Adventista de Indaial,Colégio Adventista de Blumenau,15.98221333595976
Colégio Adventista de Interlagos,Colégio Adventista de Santo Amaro,6.583619655403157
Colégio Adventista de Interlagos,Colégio Adventista de Taboão da Serra,14.488983181891479
Colégio Adventista de Interlagos,Escola Adventista de Vila das Belezas,8.54885031654975
Colégio Adventista de Interlagos,Colégio Adventista do Brooklin,10.275306597693309
Colégio Adventista de Interlagos,Colégio Adventista Ellen G. White,9.33859521707095
Colégio Adventista de Interlagos,Escola Adventista de Alvorada - SP,10.480180896570635
Colégio Adventista de Interlagos,Escola Adventista de Campo Grande,4.4077490597635665
Colégio Adventista de Interlagos,Escola Adventista de Jardim das Palmeiras,9.101868660985605
Colégio Adventista de Interlagos,Escola Adventista de Jardim Lilah,9.912183448145539
Colégio Adventista de Interlagos,Escola Adventista de Pedreira - AP,3.103460506580673
Colégio Adventista de Interlagos,Colégio Adventista Pirajuçara,12.95552036626494
Colégio Adventista de Interlagos,Escola Adventista Thiago White,10.847953838244914
Colégio Adventista de Interlagos,Unasp-SP - Centro Universitário Adventista - São Paulo,10.208918355915339
Colégio Adventista de Interlagos,Unasp-BI - Centro Universitário Adventista - Bilíngue,10.208918355915339
Colégio Adventista de Ipatinga,Colégio Adventista de Ipatinga Júnior,0.14519434489815947
Colégio Adventista de Itaboraí,Colégio Adventista de São Gonçalo,18.82658734338211
Colégio Adventista de Itabuna,Escola Adventista de Ilhéus,25.401369655030404
Colégio Adventista de Itaguaí,Colégio Adventista de Campo Grande,23.373387103091822
Colégio Adventista de Itajaí,Colégio Adventista de Blumenau,41.18942001836375
Colégio Adventista de Itapagipe,Colégio Adventista de Salvador,3.9368452064060726
Colégio Adventista de Itapagipe,Colégio Adventista de São Caetano,2.6655170963857873
Colégio Adventista de Itapagipe,Escola Adventista de Amaralina,8.913763394819632
Colégio Adventista de Itapagipe,Escola Adventista de IAPI,3.405054867908735
Colégio Adventista de Itapagipe,Escola Adventista de Jardim Cruzeiro,0.7633809187516062
Colégio Adventista de Itapagipe,Escola Adventista de Paripe,11.33280250401736
Colégio Adventista de Itapagipe,Escola Adventista de Praia Grande,7.530659169724379
Colégio Adventista de Itapetinga,Escola Adventista de Itapetinga - Morumbi,0.0
Colégio Adventista de Itararé,Escola Adventista de Castro,101.57249059842052
Colégio Adventista de Jacareí,Colégio Adventista de São José dos Campos,11.946465262288692
Colégio Adventista de Jacarepaguá,Colégio Adventista de Padre Miguel,9.294174758011476
Colégio Adventista de Jacarepaguá,Escola Adventista de Inhaúma,7.41962171616273
Colégio Adventista de Jacarepaguá,Escola Adventista de Jardim Metrópole,13.973992136085341
Colégio Adventista de Jacarepaguá,Escola Adventista de Música ARS,13.079577970245815
Colégio Adventista de Jacarepaguá,Escola Adventista da Barra da Tijuca,14.109479203341694
Colégio Adventista de Jardim Utinga,Colégio Adventista de Mauá,8.719569838741249
Colégio Adventista de Jardim Utinga,Colégio Adventista de Santo André,5.384680815470544
Colégio Adventista de Jardim Utinga,Colégio Adventista de São Bernardo do Campo,10.68532295326713
Colégio Adventista de Jardim Utinga,Colégio Adventista de São Caetano do Sul,5.592833075639327
Colégio Adventista de Jardim Utinga,Colégio Adventista de Vila Alpina,5.758995329049311
Colégio Adventista de Jardim Utinga,Colégio Adventista de Vila Matilde,9.503604369141055
Colégio Adventista de Jardim Utinga,Escola Adventista de Educação Infantil de Vila Matilde,8.878247748841988
Colégio Adventista de Ji-Paraná,Escola Adventista de Ji-Paraná,3.6525719592191797
Colégio Adventista de Joinville - Costa e Silva,Colégio Adventista de Joinville - Saguaçu,2.868708662800335
Colégio Adventista de Joinville - Costa e Silva,Escola Adventista de Joinville - Bom Retiro,1.8785537757766781
Colégio Adventista de Joinville - Costa e Silva,Colégio Adventista de Joinville - Centro,4.684178134741078
Colégio Adventista de Joinville - Saguaçu,Escola Adventista de Joinville - Bom Retiro,1.6192921199387893
Colégio Adventista de Joinville - Saguaçu,Colégio Adventista de Joinville - Centro,2.732228440776495
Colégio Adventista de Lauro de Freitas,Colégio Adventista de Castelo Branco,16.401733488673337
